time,load1,load2,load3,load4
0,2000.0,3000.0,7196.152422706631,1500.0
900,2000.0,3523.2250338411445,7381.236449196129,1500.0
1800,2000.0,4044.209537760413,7543.27719506772,1500.0
2700,2000.0,4560.7225761290265,7681.580776970634,1500.0
3600,2000.0,5070.5523608201665,7795.554957734411,1500.0
4500,2000.0,5571.515722425293,7884.711682419384,1500.0
5400,2000.0,6061.467458920719,7948.669168242862,1500.0
6300,2000.0,6538.30952175201,7987.1535394316215,1749.9237428778688
7200,2000.0,6999.999999999999,8000.0,2188.2666842823537
8100,2000.0,7444.561864156817,7987.153539431621,2634.367745887102
9000,2000.0,7870.091432069765,7948.669168242862,3086.3166544596393
9900,2000.0,8274.766520800551,7884.711682419384,3542.1780953889984
10800,2000.0,8656.85424949238,7795.554957734411,4000.0
11700,2000.0,9014.71845983182,7681.580776970634,4457.821904611001
12600,2000.0,9346.826722329883,7543.277195067721,4913.683345540361
13500,2000.0,9651.75689842036,7381.23644919613,5365.6322541128975
14400,2000.0,9928.203230275507,7196.152422706632,5811.733315717645
15300,2000.0,10174.981932261504,6988.817673815272,6250.076257122131
16200,2000.0,10391.036260090292,6760.120041747412,6678.784026555628
17100,2000.0,10575.441035960846,6511.038844873867,7096.020831533008
18000,2411.8095489747925,10727.406610312548,6242.640687119286,7500.0
18900,3049.0967798387173,10846.282243225844,5956.074890600414,7888.991631137215
19800,3694.738077799483,10931.558890990482,5652.568574052324,8261.330003061043
20700,4345.96870769857,10982.871385908828,5333.421398117613,8615.420705700482
21600,5000.0,11000.0,5000.000000000002,8949.747468305832
22500,5654.031292301432,10982.871385908828,4653.732141314008,9262.878652352843
23400,6305.261922200514,10931.558890990482,4296.100594190542,9553.473382038646
24300,6950.903220161283,10846.282243225844,3928.636791818971,9820.287286117817
25200,7588.19045102521,10727.406610312548,3552.9142706151238,10062.177826491072
26100,8214.394653031615,10575.441035960846,3170.5419320967717,10278.109190728817
27000,8826.834323650897,10391.036260090294,2783.157153320309,10467.156727579008
27900,9422.886902190012,10174.981932261506,2392.4187753808615,10628.51090646574
28800,9999.999999999998,9928.20323027551,2000.0000000000007,10761.480784023479
29700,10555.70233019602,9651.756898420364,1607.5812246191454,10865.496962822614
30600,11087.614290087207,9346.826722329883,1216.8428466796918,10940.114029616672
31500,11593.458151000688,9014.71845983182,1000.0,10985.012462670225
32400,12071.067811865476,8656.854249492382,1000.0,11000.0
33300,12518.398074789775,8274.766520800553,1000.0,10985.012462670224
34200,12933.533402912351,7870.091432069766,1000.0,10940.114029616672
35100,13314.696123025453,7444.561864156816,1000.0,10865.496962822614
36000,13660.254037844386,6999.999999999999,1000.0,10761.480784023479
36900,13968.72741532688,6538.30952175201,1000.0,10628.51090646574
37800,14238.795325112866,6061.467458920719,1000.0,10467.156727579008
38700,14469.301294951058,5571.515722425294,1000.0,10278.109190728817
39600,14659.258262890684,5070.552360820168,1000.0,10062.177826491072
40500,14807.852804032304,4560.722576129028,1000.0,9820.287286117818
41400,14914.448613738103,4044.2095377604123,1000.0,9553.473382038646
42300,14978.589232386035,3523.225033841145,1000.0,9262.878652352843
